ID;Host Since;Host Response Rate;Neighbourhood Cleansed;Neighbourhood Group Cleansed;City;Zipcode;Country;Latitude;Longitude;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Bed Type;Price;Security Deposit;Cleaning Fee;Number of Reviews;Review Scores Rating;Calculated host listings count
17652041;10/3/17;100;Embajadores;Centro;Madrid;28012;Spain;4.041.035.147.112.270;-37.035.197.896.174.500;Apartment;Private room;1;1.0;1;1;Real Bed;16;;;0;;1
3860970;8/5/14;100;Embajadores;Centro;Madrid;28012;Spain;404.108.914.723.542;-3.708.407.012.340.270;Apartment;Private room;2;2.0;1;1;Real Bed;25;;15;0;;97
7522745;2/8/13;100;Embajadores;Centro;Madrid;28012;Spain;4.041.322.610.118.600;-3.702.918.567.191.120;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;50;;10;27;88;1
12903625;28/12/14;100;Embajadores;Centro;Madrid;28012;Spain;40.412.503.981.120.300;-3.705.409.841.865.350;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;46;;20;46;98;1
7063814;9/1/14;100;Embajadores;Centro;Madrid;28012;Spain;40.411.047.665.507.000;-3.703.867.117.813.100;Apartment;Private room;2;1.0;1;1;Real Bed;33;;10;3;100;8
17102191;19/1/17;71;Embajadores;Centro;Madrid;28012;Spain;40.407.360.053.555.900;-37.025.040.162.101.200;Apartment;Entire home/apt;4;1.0;2;3;Real Bed;66;;;6;83;3
13834360;22/6/16;88;Embajadores;Centro;Madrid;28012;Spain;40.410.689.141.936.900;-3.706.164.715.926.600;Apartment;Entire home/apt;6;2.5;2;2;Real Bed;85;150;20;11;98;8
8494011;8/5/14;100;Embajadores;Centro;Madrid;28012;Spain;4.041.022.314.053.300;-3.708.678.056.121.130;Apartment;Private room;2;4.0;1;1;Real Bed;20;;15;1;100;97
16419818;1/11/14;100;Embajadores;Centro;Madrid;28012;Spain;4.041.129.917.472.670;-37.017.595.372.001.100;Apartment;Entire home/apt;4;1.0;2;2;Real Bed;70;;30;0;;1
16336674;22/8/12;100;Embajadores;Centro;Madrid;28005;Spain;4.040.750.165.130.480;-3.710.155.875.962.980;Apartment;Entire home/apt;3;1.0;1;1;Real Bed;90;;20;3;93;1
7701586;30/6/14;100;Embajadores;Centro;Madrid;28012;Spain;4.040.868.670.938.610;-37.026.303.930.453.800;Apartment;Entire home/apt;6;1.0;0;4;Real Bed;60;;25;145;87;5
3727225;8/6/12;100;Embajadores;Centro;Madrid;28012;Spain;4.040.902.272.289.650;-37.057.312.582.943.500;Apartment;Entire home/apt;2;1.0;0;1;Real Bed;45;;10;9;93;1
14852941;14/9/13;100;Embajadores;Centro;Madrid;28012;Spain;4.040.900.813.777.830;-37.035.426.361.063.000;Apartment;Entire home/apt;4;1.0;1;1;Real Bed;48;93;20;22;89;2
8546168;20/4/15;100;Embajadores;Centro;Madrid;28012;Spain;40.410.896.036.409.300;-3.698.633.579.404.790;Apartment;Private room;2;1.0;1;1;Real Bed;29;100;10;6;87;2
7742632;6/8/15;;Embajadores;Centro;Madrid;28012;Spain;4.040.647.158.968.230;-36.985.712.219.308.100;Apartment;Private room;2;1.0;1;1;Real Bed;18;;;0;;1
16759626;11/10/14;100;Embajadores;Centro;Madrid;28005;Spain;404.111.445.124.502;-370.711.721.581.619;Condominium;Entire home/apt;4;1.0;2;2;Real Bed;100;;50;5;96;2
15496371;8/7/15;0;Embajadores;Centro;Madrid;28012;Spain;4.040.617.121.134.770;-3.702.360.575.693.570;House;Private room;1;1.0;1;1;Real Bed;26;;;0;;1
8399052;10/2/12;100;Embajadores;Centro;Madrid;28012;Spain;4.041.366.547.240.810;-37.046.926.688.006.400;Apartment;Entire home/apt;10;2.0;3;7;Real Bed;76;300;50;18;94;12
18071355;23/2/17;;Embajadores;Centro;Madrid;28012;Spain;40.411.939.442.980.900;-36.994.893.632.314.800;Apartment;Private room;1;2.0;1;1;Real Bed;31;200;30;0;;38
16526100;10/2/15;100;Embajadores;Centro;Madrid;28005;Spain;4.040.971.446.632.780;-370.757.952.683.664;Apartment;Entire home/apt;4;1.0;1;1;Real Bed;50;100;35;4;95;48
13127045;20/5/16;100;Embajadores;Centro;Madrid;28012;Spain;4.041.243.664.856.540;-37.031.756.928.725.100;Apartment;Entire home/apt;5;1.0;2;5;Real Bed;42;;20;52;86;3
16927272;11/2/16;100;Embajadores;Centro;Madrid;28012;Spain;4.040.625.229.166.150;-3.703.242.050.019.460;Apartment;Entire home/apt;2;1.0;1;2;Real Bed;60;150;30;3;100;1
13949075;11/7/16;100;Embajadores;Centro;Madrid;28012;Spain;4.041.257.440.550.840;-37.008.555.089.790.200;Condominium;Entire home/apt;4;1.0;2;2;Real Bed;79;150;40;12;100;1
17281972;15/2/17;100;Embajadores;Centro;Madrid;28012;Spain;40.408.532.974.774.100;-36.946.024.161.192.700;Apartment;Entire home/apt;6;2.0;2;3;Real Bed;110;150;42;5;100;1
1465783;21/3/13;96;Santa María del Camí;;Santa Maria del Camí;7320;Spain;39.644.897.388.342.500;28.140.271.045.407.800;Villa;Entire home/apt;14;6.0;6;11;Real Bed;310;;;2;90;129
946779;18/2/13;100;Pollença;;Pollença;7470;Spain;3.988.892.329.331.990;30.775.869.743.331.600;Apartment;Entire home/apt;6;2.0;3;4;Real Bed;89;;;8;90;1
3686778;23/7/14;100;Alaró;;Alaró;7340;Spain;3.970.630.217.753.960;27.867.307.437.026.900;Apartment;Entire home/apt;5;2.0;2;4;Real Bed;100;;30;28;92;4
2500450;21/3/13;96;Alaró;;Alaró;7340;Spain;3.969.400.703.469.180;2.795.848.792.367.690;House;Entire home/apt;6;2.0;3;3;Real Bed;150;;;0;;129
504631;29/5/12;89;Lake Balboa;;Los Angeles;91406;United States;34.200.247.990.708.700;-11.850.018.511.322.200;Apartment;Entire home/apt;2;1.0;1;1;Real Bed;60;;;24;91;1
